id,sample_name,test_name,user_name,date_of_creation,raw_file_location,processed_file_location,processing_date,camera_type_1,notes,sample_id,quantity,deleted,issue,project.id,project.user_name,project.project_name,project.annotation,project.test_name,project.sample_names.sample_names,project.neutral_filler,project.qpc20,project.qpc50,project.qpc80,project.qpc100,project.notes,test_id
10522,amoxicillin,12LanePADKenya2015,Analyst 22,2018-11-29T19:48:20,/var/www/html/images/padimages/raw/10000/10522_raw.jpg,/var/www/html/images/padimages/processed/10000/10522_processed.png,2018-12-05T21:52:30,unknown,"Basket 1 PAD Photos, 9A7U",29407,100,False,,19,Marya Lieberman,MSH Tanzania,,12LanePADKenya2015,"['Amoxicillin', 'Benzyl Penicillin', 'Calcium Carbonate', 'Cellulose', 'Isoniazid', 'Lactose', 'Paracetamol', 'Paracetamol Starch', 'Penicillin Procaine', 'Quinine', 'Starch (Maize)', 'Unknown', 'Vitamin C']",,0,0,0,1,,9A7U
10543,paracetamol,12LanePADKenya2015,Analyst 22,2018-11-29T19:49:23,/var/www/html/images/padimages/raw/10000/10543_raw.jpg,/var/www/html/images/padimages/processed/10000/10543_processed.png,2018-12-04T15:55:56,unknown,"Basket 1 PAD Photos, T22-C2OE",29404,100,False,,19,Marya Lieberman,MSH Tanzania,,12LanePADKenya2015,"['Amoxicillin', 'Benzyl Penicillin', 'Calcium Carbonate', 'Cellulose', 'Isoniazid', 'Lactose', 'Paracetamol', 'Paracetamol Starch', 'Penicillin Procaine', 'Quinine', 'Starch (Maize)', 'Unknown', 'Vitamin C']",,0,0,0,1,,T22-C2OE
10542,paracetamol-starch,12LanePADKenya2015,Analyst 22,2018-11-29T19:49:20,/var/www/html/images/padimages/raw/10000/10542_raw.jpg,/var/www/html/images/padimages/processed/10000/10542_processed.png,2018-12-06T17:56:04,unknown,"Basket 1 PAD Photos, T22-XOFO",29400,100,False,,19,Marya Lieberman,MSH Tanzania,,12LanePADKenya2015,"['Amoxicillin', 'Benzyl Penicillin', 'Calcium Carbonate', 'Cellulose', 'Isoniazid', 'Lactose', 'Paracetamol', 'Paracetamol Starch', 'Penicillin Procaine', 'Quinine', 'Starch (Maize)', 'Unknown', 'Vitamin C']",,0,0,0,1,,T22-XOFO
10548,quinine,12LanePADKenya2015,Analyst 22,2018-11-29T19:49:35,/var/www/html/images/padimages/raw/10000/10548_raw.jpg,/var/www/html/images/padimages/processed/10000/10548_processed.png,2018-12-06T10:52:21,unknown,"Basket 1 PAD Photos, T22-IBFY",29403,100,False,,19,Marya Lieberman,MSH Tanzania,,12LanePADKenya2015,"['Amoxicillin', 'Benzyl Penicillin', 'Calcium Carbonate', 'Cellulose', 'Isoniazid', 'Lactose', 'Paracetamol', 'Paracetamol Starch', 'Penicillin Procaine', 'Quinine', 'Starch (Maize)', 'Unknown', 'Vitamin C']",,0,0,0,1,,T22-IBFY
10567,quinine,12LanePADKenya2015,Analyst 22,2018-11-29T19:50:31,/var/www/html/images/padimages/raw/10000/10567_raw.jpg,/var/www/html/images/padimages/processed/10000/10567_processed.png,2018-11-29T19:50:31,unknown,"Basket 1 PAD Photos, T22-965E",29401,100,False,,19,Marya Lieberman,MSH Tanzania,,12LanePADKenya2015,"['Amoxicillin', 'Benzyl Penicillin', 'Calcium Carbonate', 'Cellulose', 'Isoniazid', 'Lactose', 'Paracetamol', 'Paracetamol Starch', 'Penicillin Procaine', 'Quinine', 'Starch (Maize)', 'Unknown', 'Vitamin C']",,0,0,0,1,,T22-965E
10527,quinine,12LanePADKenya2015,Analyst 22,2018-11-29T19:48:34,/var/www/html/images/padimages/raw/10000/10527_raw.jpg,/var/www/html/images/padimages/processed/10000/10527_processed.png,2018-12-05T17:39:56,unknown,"Basket 1 PAD Photos, T22-NGF8",29405,100,False,,19,Marya Lieberman,MSH Tanzania,,12LanePADKenya2015,"['Amoxicillin', 'Benzyl Penicillin', 'Calcium Carbonate', 'Cellulose', 'Isoniazid', 'Lactose', 'Paracetamol', 'Paracetamol Starch', 'Penicillin Procaine', 'Quinine', 'Starch (Maize)', 'Unknown', 'Vitamin C']",,0,0,0,1,,T22-NGF8
10561,paracetamol-starch,12LanePADKenya2015,Analyst 22,2018-11-29T19:50:12,/var/www/html/images/padimages/raw/10000/10561_raw.jpg,/var/www/html/images/padimages/processed/10000/10561_processed.png,2018-12-04T16:23:22,unknown,"Basket 1 PAD Photos, T22-ZWPL",29402,100,False,,19,Marya Lieberman,MSH Tanzania,,12LanePADKenya2015,"['Amoxicillin', 'Benzyl Penicillin', 'Calcium Carbonate', 'Cellulose', 'Isoniazid', 'Lactose', 'Paracetamol', 'Paracetamol Starch', 'Penicillin Procaine', 'Quinine', 'Starch (Maize)', 'Unknown', 'Vitamin C']",,0,0,0,1,,T22-ZWPL
11124,quinine,12LanePADKenya2015,Analyst 23,2018-11-29T20:09:08,/var/www/html/images/padimages/raw/10000/11124_raw.jpg,/var/www/html/images/padimages/processed/10000/11124_processed.png,2018-11-29T20:09:08,unknown,"Basket 2 PAD Photos, T23-IVLB",35451,100,False,,19,Marya Lieberman,MSH Tanzania,,12LanePADKenya2015,"['Amoxicillin', 'Benzyl Penicillin', 'Calcium Carbonate', 'Cellulose', 'Isoniazid', 'Lactose', 'Paracetamol', 'Paracetamol Starch', 'Penicillin Procaine', 'Quinine', 'Starch (Maize)', 'Unknown', 'Vitamin C']",,0,0,0,1,,T23-IVLB
11136,starch,12LanePADKenya2015,Analyst 23,2018-11-29T20:09:10,/var/www/html/images/padimages/raw/10000/11136_raw.jpg,/var/www/html/images/padimages/processed/10000/11136_processed.png,2018-12-06T09:45:00,unknown,"Basket 2 PAD Photos, T23-YOL0",35454,100,False,,19,Marya Lieberman,MSH Tanzania,,12LanePADKenya2015,"['Amoxicillin', 'Benzyl Penicillin', 'Calcium Carbonate', 'Cellulose', 'Isoniazid', 'Lactose', 'Paracetamol', 'Paracetamol Starch', 'Penicillin Procaine', 'Quinine', 'Starch (Maize)', 'Unknown', 'Vitamin C']",,0,0,0,1,,T23-YOL0
11103,vitamin-c,12LanePADKenya2015,Analyst 23,2018-11-29T20:09:04,/var/www/html/images/padimages/raw/10000/11103_raw.jpg,/var/www/html/images/padimages/processed/10000/11103_processed.png,2018-12-06T10:53:51,unknown,"Basket 2 PAD Photos, T23-UKUW",35452,100,False,,19,Marya Lieberman,MSH Tanzania,,12LanePADKenya2015,"['Amoxicillin', 'Benzyl Penicillin', 'Calcium Carbonate', 'Cellulose', 'Isoniazid', 'Lactose', 'Paracetamol', 'Paracetamol Starch', 'Penicillin Procaine', 'Quinine', 'Starch (Maize)', 'Unknown', 'Vitamin C']",,0,0,0,1,,T23-UKUW
